#general

"Album";"Album"
"Albums";"Albums"
"sesphoto";"photo"
"Photo Albums";"Photo Albums"
"photo";"photo";"photos"
"Wall Photos";"Wall Photos"
"View All Albums";"View All Albums"
"No categories found.";"No categories found."
"you have already rated";"you have already rated"
"rating is not allowed for your member level";"rating is not allowed for your member level"
"rating on own album is not allowed";"rating on own album is not allowed"
"rating is disabled";"rating is disabled"
"please login to rate";"please login to rate"
"click to rate";"click to rate"
"Thanks for rating!";"Thanks for rating!"
"Save";"Save"
"Cancel";"Cancel"
"Untitled";"Untitled"
"by";"by"
"Album Info";"Album Info"
"Photos";"Photos"
"Related Albums";"Related Albums"
"Discussion";"Discussion"
"Facebook";"Facebook"
"Twitter";"Twitter"
"Pinterest";"Pinterest"
"Change Cover Photo";"Change Cover Photo"
"Add Cover Photo";"Add Cover Photo"
"Remove Cover Photo";"Remove Cover Photo"
"Tags";"Tags"
"Add Related Albums";"Add Related Albums"
"There are currently no related albums.";"There are currently no related albums."
"Click to %1$screate%2$s one!";"Click to %1$screate%2$s one!"
"View More";"View More"
"Albums Home";"Albums Home"
"Browse Albums";"Browse Albums"
"View Album";"View Album"
"Photo";"Photo"
"There are currently no albums.";"There are currently no albums."
"Be the first to %1$screate%2$s one!";"Be the first to %1$screate%2$s one!"
"Posted by %1$s";"Posted by %1$s"
"Categories";"Categories"
"No albums in this  category.";"No albums in this  category."
"Be the first to %1$spost%2$s one in this category!";"Be the first to %1$spost%2$s one in this category!"
"rating on own photo not allowed";"rating on own photo not allowed" 
"People Who Like This";"People Who Like This"
"People Who Added This As Favourite";"People Who Added This As Favourite" 
"People Who Are Tagged In This Photo";"People Who Are Tagged In This Photo"
"in %1$s";"in %1$s"
"Edit Location";"Edit Location"
"Edit";"Edit"
"Delete";"Delete"
"Share";"Share"
"Report";"Report"
"Make Profile Photo";"Make Profile Photo"
"photos";"photos"
"albums";"albums"
"Previous";"Previous"
"Next";"Next"
"Photo Albums";"Photo Albums"
"Please fill the red mark fields";"Please fill the red mark fields"
"%s photo";"% photo";"%s photos"
"%s <span>photo</span>";"%s <span>photo</span>";"%s <span>photos</span>"
"Popular Categories";"Popular Categories"
"Top Rated Albums";"Top Rated Albums"
"Most Downloaded";"Most Downloaded"
"Most Liked Albums";"Most Liked Albums"
"Most Viewed Albums";"Most Viewed Albums"
"Recently Viewed Albums";"Recently Viewed Albums"
"Most Commented Albums";"Most Commented Albums"
"Most Favourite Album";"Most Favourite Album"
"Popular Tags";"Popular Tags"
"Most Downloaded Albums";"Most Downloaded Albums"
"Close";"Close"
"Loading ...";"Loading ..."
"Loading";"Loading"
"No albums found with this criteria.";"No albums found with this criteria."
"Posted by %1$s";"Posted by %1$s"
"Title";"Title"
"Image Description";"Image Description"
"Location";"Location"
"Location:";"Location:"
"Category:";"Category:"
"View:";"View:"
"Miles:";"Miles:"
"2nd-level Category:";"2nd-level Category:"
"3rd-level Category:";"3rd-level Category:"
"rating by";"rating by"
"ratings by";"rating by"
"user";"user"
"users";"users"
"Enter a location";"Enter a location"
"Save Changes";"Save Changes"
"People Likes This Photo";"People Who Like This"
"People Tag In This Photo'";"People Who Are Tagged In This"
"Popular Albums";"Popular Albums"
"Popular Photos";"Popular Photos"
"%s Photo";"%s Photo";"%s Photos"
"%s View";"%s View";"%s Views"
"%s Like";"%s Like";"%s Likes"
"%s Comment";"%s Comment";"%s Comments"
"%s Favourite";"%s Favourite";"%s Favourites"
"%s photo";"%s photo";"%s photos"
"%s view";"%s view";"%s views"
"%s like";"%s like";"%s likes"
"%s download";"%s download";"%s downloads"
"%s Download";"%s Download";"%s Downloads"
"Browse More Photos by Categories";"Browse More Photos by Categories"
"%s comment";"%s comment";"%s comments"
"%s favourite";"%s favourite";"%s favourites"
"%s rating";"%s rating";"%s ratings"
"Photos Home";"Photos Home"
"Browse Photos";"Browse Photos"
"Browse Categories";"Browse Categories"
