"Visit your Insights Store";"Visit your Insights Showroom"
"Send an update to people who like this";"Send an update to people who like this"
"Promote with %s Ads";"Promote with %s Ads"
"ly active user";"ly active user";"ly active users"
"person likes this";"person likes this";"people like this"
"since last";"since last"
"comment";"comment";"comments"
"visit";"visit";"visits"
"Declined";"Declined"
"Approval Pending";"Approval Pending"
"Approved";"Approved"
" Store ";" Showroom "
"Dis-Approved";"Dis-Approved"
"The selected topic has been successfully renamed.";"The selected topic has been successfully renamed."
"The selected topic has been deleted.";"The selected topic has been deleted."
"The changes to your post have been saved.";"The changes to your post have been saved."
"The selected post has been deleted.";"The selected post has been deleted."
"Max file size limit exceeded (probably).";"Max file size limit exceeded (probably)."
"Invalid request method";"Invalid request method"
"No file";"No file"
"Invalid Upload";"Invalid Upload"
"An error occurred.";"An error occurred."
"Changes saved.";"Changes saved."
"Photo deleted.";"Photo deleted."
"Invalid method";"Invalid method"
"Invalid angle, must not be empty";"Invalid angle, must not be empty"
"Invalid angle, must be 90 or 270";"Invalid angle, must be 90 or 270"
"Could not retrieve file";"Could not retrieve file"
"Invalid direction";"Invalid direction"
"store failed validation check";"Showroom failed validation check"
"content id and tmp content id both empty";"content id and tmp content id both empty"
"content row missing";"content row missing"
"missing name and/or type info";"missing name and/or type info"
"Your changes have been saved.";"Your changes have been saved."
"Store not found";"Showroom not found"
"Cannot delete non-custom stores";"Cannot delete non-custom Showrooms"
"no widget found with name:";"no widget found with name:"
"Unable to load admin form class";"Unable to load admin form class"
"Store Category * Please complete this field - it is required.";"Showroom Category * Please complete this field - it is required."
"Your store has been successfully created. You can enhance your store from this dashboard by creating other components.";"Your Showroom has been successfully created. You can enhance your Showroom from this dashboard by creating other components."
"Invalid sender email address value";"Invalid sender email address value"
"Please enter correct email address of the receiver(s).";"Please enter correct email address of the receiver(s)."
"Your message to your friend has been sent successfully.";"Your message to your friend has been sent successfully."
"Your store location has been modified successfully.";"Your Showroom location has been modified successfully."
"The package for your Store has been successfully changed.";"The package for your Showroom has been successfully changed."
"Options";"Options"
"Search Members";"Search Members"
"No results were found.";"No results were found."
"Successfully Liked.";"Successfully Liked."
"Successfully Unliked.";"Successfully Unliked."
"Successfully Published !";"Successfully Published !"
"You have successfully add the Store.";"You have successfully add the Showroom."
"You have successfully remove this Store.";"You have successfully remove this Showroom."
"URL component should be atleast 3 characters long.";"URL component should be atleast 3 characters long."
"URL component should be maximum 255 characters long.";"URL component should be maximum 255 characters long."
"URL not available.";"URL not available."
"URL component can contain alphabets, numbers, underscores & dashes only.";"URL component can contain alphabets, numbers, underscores & dashes only."
"URL Available!";"URL Available!"
"There are no stores joined by you.";"There are no Showrooms joined by you."
"There are no profile fields available.";"There are no profile fields available."
"Subject is required field !";"Subject is required field !"
"This message corresponds to the Store:";"This message corresponds to the Showroom:"
"Your message has been sent successfully.";"Your message has been sent successfully."
"Create the update to be sent to people who like your Store.";"Create the update to be sent to people who like your Showroom."
"<div class='tip'><span>1 person likes this Store.</span></div>";"<div class='tip'><span>1 person likes this Showroom.</span></div>"
"%s people like this Store.";"%s people like this Showroom."
"This is an update for the store:";"This is an update for the Showroom:"
"Update was sent successfully to people who like your Store.";"Update was sent successfully to people who like your Showroom."
"Text saved successfully.";"Text saved successfully."
"Alert!";"Alert!"
"You have already send a request to claim for this store which has been declined by the site admin.";"You have already send a request to claim for this Showroom which has been declined by the site admin."
"Open";"Open"
"You have already filed a claim for this store: ""%s"", which is either on hold or is awaiting action by administration.";"You have already filed a claim for this Showroom: ""%s"", which is either on hold or is awaiting action by administration."
"Please enter a valid email address.";"Please enter a valid email address."
"Your request has been send successfully. You will now receive an email confirming Admin approval of your request.";"Your request has been send successfully. You will now receive an email confirming Admin approval of your request."
"This is an invalid store name. Please select a valid store name from the autosuggest given below.";"This is an invalid Showroom name. Please select a valid Showroom name from the autosuggest given below."
"You have already filed a claim for the store: ""%s"", which is either on hold or is awaiting action by administration.";"You have already filed a claim for the Showroom: ""%s"", which is either on hold or is awaiting action by administration."
"You have already filed a claim for the store: ""%s"", which has been declined by the site admin.";"You have already filed a claim for the Showroom: ""%s"", which has been declined by the site admin."
"Featured admins of your store have been updated successfully.";"Featured admins of your Showroom have been updated successfully."
"The uploaded file is not supported or is corrupt.";"The uploaded file is not supported or is corrupt."
"Your photos have been restored.";"Your photos have been reShowroomd."
"Contact Store Owner";"Contact Showroom Owner"
"Create your message with the form given below. Your message will be sent to the admins of this Store.";"Create your message with the form given below. Your message will be sent to the admins of this Showroom."
"to";"to"
"Invalid data";"Invalid data"
"Album doesn't exist or not authorized to delete.";"Album doesn't exist or not authorized to delete."
"Album has been deleted.";"Album has been deleted."
"Sample Store";"Sample Showroom"
"The PHP extension cURL does not appear to be installed, which is required for interaction with payment gateways. Please contact your hosting provider.";"The PHP extension cURL does not appear to be installed, which is required for interaction with payment gateways. Please contact your hosting provider."
"The installed version of the cURL PHP extension does not support HTTPS, which is required for interaction with payment gateways. Please contact your hosting provider.";"The installed version of the cURL PHP extension does not support HTTPS, which is required for interaction with payment gateways. Please contact your hosting provider."
"You have not enabled a payment gateway yet. Please %1$senable payment gateways%2$s  for transactions to occur on your site.";"You have not enabled a payment gateway yet. Please %1$senable payment gateways%2$s  for transactions to occur on your site."
"The PHP extension cURL";"The PHP extension cURL"
"does not appear to be installed, which is required";"does not appear to be installed, which is required"
"for interaction with payment gateways. Please contact your";"for interaction with payment gateways. Please contact your"
"hosting provider.";"hosting provider."
"The installed version of";"The installed version of"
"the cURL PHP extension does not support HTTPS, which is required";"the cURL PHP extension does not support HTTPS, which is required"
"There are currently no enabled payment gateways. You must %1$senable payment gatways%2$s before creating a paid package.";"There are currently no enabled payment gateways. You must %1$senable payment gatways%2$s before creating a paid package."
"You have not enabled a payment gateway yet. Please %1$senable payment gateways%2$s  before creating a paid package.";"You have not enabled a payment gateway yet. Please %1$senable payment gateways%2$s  before creating a paid package."
"Please select atleastone profile field.";"Please select atleast one profile field."
"Member Level";"Member Level"
"Default Level";"Default Level"
"Superadmins";"Superadmins"
"Admins";"Admins"
"Moderators";"Moderators"
"Public";"Public"
"This is not a valid user name. Please select a user name from the autosuggest.";"This is not a valid user name. Please select a user name from the autosuggest."
