"Invalid request method";"Invalid request method"
"Like added";"Like added"
"Like removed";"Like removed"
"This user is not allowed to unlike this store";"This user is not allowed to unlike this Showroom"
"View Store";"View Showroom"
"Dashboard: ";"Dashboard: "
"Configure a %s Store Badge";"Configure a %s Showroom Badge"
"Embeddable Store Badge enables you to concisely share and showcase your Store information and content on external blogs or websites. With this, you can gain visibility, popularity and Likes for your Store by attracting people. It enables people to:";"Embeddable Showroom Badge enables you to concisely share and showcase your Showroom information and content on external blogs or websites. With this, you can gain visibility, popularity and Likes for your Showroom by attracting people. It enables people to:"
"See the information of this Store.";"See the information of this Showroom."
"See the recent content and updates of this Store for the various sections.";"See the recent content and updates of this Showroom for the various sections."
"See how many people already like this Store.";"See how many people already like this Showroom."
"Like this Store.";"Like this Showroom."
"Below, you can customize the various aspects of your Store Badge. Copy the generated HTML and paste it into the source code for your web store.";"Below, you can customize the various aspects of your Showroom Badge. Copy the generated HTML and paste it into the source code for your web Showroom."
"Unlike";"Unlike"
"Profile Information";"Profile Information"
"View More";"View More"
"End date:";"End date:"
"Never Expires";"Never Expires"
"%s person likes";"%s person likes";"%s people like"
"Object is not found";"Object is not found"
"Your Embeddable Store Badge code";"Your Embeddable Showroom Badge code"
"Copy this code and paste it into your web store.";"Copy this code and paste it into your web Showroom."
"Okay";"Okay"
"Your Store URL";"Your Showroom URL"
"The Store Title and Store Photo will link to this URL.";"The Showroom Title and Showroom Photo will link to this URL."
"Color Code:";"Color Code:"
"Border Color";"Border Color"
"Border color of the embeddable badge. Mention color of your <br> choice like red, etc, or choose its code by clicking on the rainbow.";"Border color of the embeddable badge. Mention color of your <br> choice like red, etc, or choose its code by clicking on the rainbow."
"The action you are looking for does not exist.";"The action you are looking for does not exist."
"The post was not added to the feed. Please check your %1$sprivacy settings%2$s.";"The post was not added to the feed. Please check your %1$sprivacy settings%2$s."
"Activity Item Not Found";"Activity Item Not Found"
"The store you have attempted to access could not be found.";"The Showroom you have attempted to access could not be found."
"Nothing has been posted here yet - be the first!";"Nothing has been posted here yet - be the first!"
"Loading ...";"Loading ..."
" &raquo; Map ";" &raquo; Map "
"Global Settings";"Global Settings"
"These settings affect all members in your community.";"These settings affect all members in your community."
"Enter License key";"Enter License key"
"Please enter your license key that was provided to you when you purchased this plugin. If you do not know your license key, please contact the Support Team of SocialEngineAddOns from the Support section of your Account Area.(Key Format: XXXXXX-XXXXXX-XXXXXX )";"Please enter your license key that was provided to you when you purchased this plugin. If you do not know your license key, please contact the Support Team of SocialEngineAddOns from the Support section of your Account Area.(Key Format: XXXXXX-XXXXXX-XXXXXX )"
"Your community is currently in ""Production Mode"". We recommend that you momentarily switch your site to ""Development Mode"" so that the CSS of this plugin renders fine as soon as the plugin is installed. After completely installing this plugin and visiting few stores of your site, you may again change the System Mode back to ""Production Mode"" from the Admin Panel Home. (In Production Mode, caching prevents CSS of new plugins to be rendered immediately after installation.)";"Your community is currently in ""Production Mode"". We recommend that you momentarily switch your site to ""Development Mode"" so that the CSS of this plugin renders fine as soon as the plugin is installed. After completely installing this plugin and visiting few Showrooms of your site, you may again change the System Mode back to ""Production Mode"" from the Admin Panel Home. (In Production Mode, caching prevents CSS of new plugins to be rendered immediately after installation.)"
"System Mode";"System Mode"
"Enable Embeddable Badges / Like Box for the default package that was created upon installation of the ""Stores / Marketplace Plugin"" (If enabled, the External Badge App will also be available to Stores created so far under the default package).";"Enable Embeddable Badges / Like Box for the default package that was created upon installation of the ""Showrooms / Marketplace Plugin"" (If enabled, the External Badge App will also be available to Showrooms created so far under the default package)."
"Embeddable Badges / Like Box for Default Package";"Embeddable Badges / Like Box for Default Package"
"Activate Your Plugin Now";"Activate Your Plugin Now"
"Badge Width";"Badge Width"
"Height of the embeddable badge in pixels.";"Height of the embeddable badge in pixels."
"Color scheme of the embeddable badge.";"Color scheme of the embeddable badge."
"Show profile photos";"Show profile photos"
"Show profile photos of users who like the store in the embeddable badge.";"Show profile photos of users who like the Showroom in the embeddable badge."
"Color Scheme Code:";"Color Scheme Code:"
"Show header";"Show header"
"Show the 'Find us on %s' bar at top of the embeddable badge.<br /> This is only shown when either store content or profile photos are present.";"Show the 'Find us on %s' bar at top of the embeddable badge.<br /> This is only shown when either Showroom content or profile photos are present."
"Show store data and content";"Show Showroom data and content"
"Store Data and Content";"Showroom Data and Content"
"Show data and content of store in the embeddable badge.<br/> Below, you can further choose what all to show.";"Show data and content of Showroom in the embeddable badge.<br/> Below, you can further choose what all to show."
"Show Updates";"Show Updates"
"Updates";"Updates"
"Show store updates in the embeddable box.";"Show Showroom updates in the embeddable box."
"Show Info";"Show Info"
"Show store information in the embeddable box.";"Show Showroom information in the embeddable box."
"Show Map";"Show Map"
"Show store location map in the embeddable box.";"Show Showroom location map in the embeddable box."
"Show Photos";"Show Photos"
"Show store photos in the embeddable box.";"Show Showroom photos in the embeddable box."
"Show Music";"Show Music"
"Show store music in the embeddable box.";"Show Showroom music in the embeddable box."
"Music";"Music"
"Show Events";"Show Events"
"Show store events in the embeddable box.";"Show Showroom events in the embeddable box."
"Events";"Events"
"Show Discussions";"Show Discussions"
"Discussions";"Discussions"
"Show store discussions in the embeddable box.";"Show Showroom discussions in the embeddable box."
"Show Polls";"Show Polls"
"Polls";"Polls"
"Show store polls in the embeddable box.";"Show Showroom polls in the embeddable box."
"Show Notes";"Show Notes"
"Notes";"Notes"
"Show store notes in the embeddable box.";"Show Showroom notes in the embeddable box."
"Show Offers";"Show Offers"
"Show store offers in the embeddable box.";"Show Showroom offers in the embeddable box."
"Offers";"Offers"
"Show Videos";"Show Videos"
"Show store videos in the embeddable box.";"Show Showroom videos in the embeddable box."
"Videos";"Videos"
"Show Documents";"Show Documents"
"Show store documents in the embeddable box.";"Show Showroom documents in the embeddable box."
"Documents";"Documents"
"Get Code";"Get Code"
"Color Schemes";"Color Schemes"
"FAQ";"FAQ"
"Reviews & Ratings";"Reviews & Ratings"
"Store Profile Photo";"Showroom Profile Photo"
"Show store updates in the embeddable badge.";"Show Showroom updates in the embeddable badge."
"Show store location map in the embeddable badge.";"Show Showroom location map in the embeddable badge."
"Show store photos in the embeddable badge.";"Show Showroom photos in the embeddable badge."
"Show store music in the embeddable badge.";"Show Showroom music in the embeddable badge."
"Show store reviews and ratings in the embeddable badge.";"Show Showroom reviews and ratings in the embeddable badge."
"Show store events in the embeddable badge.";"Show Showroom events in the embeddable badge."
"Show store discussions in the embeddable badge.";"Show Showroom discussions in the embeddable badge."
"Show store polls in the embeddable badge.";"Show Showroom polls in the embeddable badge."
"Show store notes in the embeddable badge.";"Show Showroom notes in the embeddable badge."
"Show store offers in the embeddable badge.";"Show Showroom offers in the embeddable badge."
"Show store videos in the embeddable badge.";"Show Showroom videos in the embeddable badge."
"Show store documents in the embeddable badge.";"Show Showroom documents in the embeddable badge."
"Show store information in the embeddable badge.";"Show Showroom information in the embeddable badge."
"Show Reviews & Ratings";"Show Reviews & Ratings"
"Reviews";"Reviews"
"Title Truncation Limit";"Title Truncation Limit"
"Number of characters to be shown in the Title.";"Number of characters to be shown in the Title."
"You have chosen a restricted View Privacy for your Store. To be able to promote your Store via embeddable badges, please change the View Privacy to Everyone from %1shere%2s.";"You have chosen a restricted View Privacy for your Showroom. To be able to promote your Showroom via embeddable badges, please change the View Privacy to Everyone from %1shere%2s."
