"here";"here"
"2Checkout";"2Checkout"
"PayPal";"PayPal"
"By Cheque";"By Cheque"
"Invalid Payment Method";"Invalid Payment Method"
"Phone:";"Phone:"
"Email:";"Email:"
"Website:";"Website:"
"Simple Product";"Simple Product"
"Configurable Product";"Configurable Product"
"Downloadable Product";"Downloadable Product"
"Grouped Product";"Grouped Product"
"Bundled Product";"Bundled Product"
"Virtual Product";"Virtual Product"
"%s OFF";"%s OFF"
"Starting at: %s";"Starting at: %s"
"Add Configuration Field";"Add Configuration Field"
"Edit Question";"Edit Question"
"Duplicate label";"Duplicate label"
"No child field specified";"No child field specified"
"No child field found";"No child field found"
"Album Cover";"Album Cover"
"Save Changes";"Save Changes"
"Search";"Search"
"Save";"Save"
"Cannot save data when no identity has been specified";"Cannot save data when no identity has been specified"
" expects an array";" expects an array"
"Write an Editor Review";"Write an Editor Review"
"Give your ratings and opinion for %s below:";"Give your ratings and opinion for %s below:"
"The Good";"The Good"
"The Bad";"The Bad"
"The Bottom Line";"The Bottom Line"
"Conclusion";"Conclusion"
"Reason Of Updation";"Reason Of Updation"
"Status";"Status"
"Submit";"Submit"
"cancel";"cancel"
"or";"or"
"Edit an Editor Review";"Edit an Editor Review"
"You can edit the editor review for %s below:";"You can edit the editor review for %s below:"
"Email Editor";"Email Editor"
"Your Name *";"Your Name *"
"Your Email *";"Your Email *"
"Message";"Message"
"Thought you would be interested in this.";"Thought you would be interested in this."
"You can send a personal note in the mail.";"You can send a personal note in the mail."
"Please type the characters you see in the image.";"Please type the characters you see in the image."
"Send Email";"Send Email"
"Edit File Info";"Edit File Info"
"File Title";"File Title"
"Maximum Downloads Limit";"Maximum Downloads Limit"
"Please enter 0 or leave this field empty for unlimited download";"Please enter 0 or leave this field empty for unlimited download"
"Upload Main Files";"Upload Main Files"
"Upload Sample Files";"Upload Sample Files"
"Choose main files on your computer to upload for this product.";"Choose main files on your computer to upload for this product."
"Choose sample files on your computer to upload for this product.";"Choose sample files on your computer to upload for this product."
"Save Files";"Save Files"
"Delete Photo";"Delete Photo"
"Are you sure you want to delete this photo?";"Are you sure you want to delete this photo?"
"Edit Sitestoreproduct Photo";"Edit SiteShowroomproduct Photo"
"Title";"Title"
"Description";"Description"
"Save Photos";"Save Photos"
"Image Description";"Image Description"
"Show in Slideshow";"Show in Slideshow"
"Add New Photos";"Add New Photos"
"Choose photos on your computer to add to this product. (2MB maximum). The recommended dimension for the photos of this product is: 400 x 500 pixels to enable image zoom feature when users mouse-over on photos displayed on this product's profile page.";"Choose photos on your computer to add to this product. (2MB maximum). The recommended dimension for the photos of this product is: 400 x 500 pixels to enable image zoom feature when users mouse-over on photos displayed on this product's profile page."
"Reply";"Reply"
"Body";"Body"
"Send me notifications when other members reply to this topic.";"Send me notifications when other members reply to this topic."
"Post Reply";"Post Reply"
"Delete Post";"Delete Post"
"Are you sure you want to delete this post?";"Are you sure you want to delete this post?"
"Edit Post";"Edit Post"
"Payment Gateway: PayPal";"Payment Gateway: PayPal"
"SITESTOREPRODUCT_FORM_PRODUCT_PAYPAL_DESCRIPTION";"Configure your Paypal Account: <br />
1) Establish a Business Paypal account: <a target=""_blank"" href=""%1$s"">https://www.paypal.com/signup/account</a>.<br />
2) Navigate to <a target=""_blank"" href=""%2$s"">My Selling Tools</a> by selecting My Account > Profile > My Selling Tools. Click Selling Online > API Access > Update to display the API Access page. Under Option 2, click View <a target=""_blank"" href=""%3$s"">API Signature</a> to view the Request API Credentials page.<br />
3) To create new credentials, select Request API Signature and click Agree and Submit.
For more information, see <a target=""_blank"" href=""%4$s"">Creating and Managing Classic API Credentials</a>. If you have existing API credentials, you can also use this shortcut to review them: <a target=""_blank"" href=""%5$s"">https://www.paypal.com/us/cgi-bin/webscr?cmd=_profile-api-signature</a><br />"
"Paypal Email";"Paypal Email"
"API Username";"API Username"
"API Passwor";"API Password"
"API Signature";"API Signature"
"Enabled?";"Enabled?"
"Write a Review";"Write a Review"""
"Name";"Name"
"Email";"Email"
"Pros";"Pros"
"What do you like about this Product?";"What do you like about this Product?"
"Cons";"Cons"
"What do you dislike about this Product?";"What do you dislike about this Product?"
"One-line summary";"One-line summary"
"Summary";"Summary"
"Recommended";"Recommended"
"Would you recommend %s to a friend?";"Would you recommend %s to a friend?"
"Email Review";"Email Review"
"Please fill the form below and then click on 'Send Email' button to send a mail to your friends to let them know about this Review.";"Please fill the form below and then click on 'Send Email' button to send a mail to your friends to let them know about this Review."
"To *";"To *"
"Separate multiple addresses with commas.";"Separate multiple addresses with commas."
"Message *";"Message *"
"Show";"Show"
"Reviews Written By";"Reviews Written By"
"Category";"Category"
"Browse By";"Browse By"
"Most Recent";"Most Recent"
"Highest Rating";"Highest Rating"
"Lowest Rating";"Lowest Rating"
"Most Helpful";"Most Helpful"
"Most Reply";"Most Reply"
"Most Viewed";"Most Viewed"
"Ratings";"Ratings"
"%1s Star";"%1s Star"
"Only Recommended Reviews";"Only Recommended Reviews"
"Update your Review";"Update your Review"
"You can update your review for %s below:";"You can update your review for %s below:"
"Add your Opinion";"Add your Opinion"
"Create Shipping Method";"Create Shipping Method"
"Below, you can create a shipping method to fulfill delivery to your buyers of the products that they purchase from your store.";"Below, you can create a shipping method to fulfill delivery to your buyers of the products that they purchase from your Showroom."
"All Countries";"All Countries"
"Delivery Time";"Delivery Time"
"Eg: 2-5 Days, 3-9 Working Days, 2-6 Business Days";"Eg: 2-5 Days, 3-9 Working Days, 2-6 Business Days"
"Country";"Country"
"Enable Shipping For All Regions / State";"Enable Shipping For All Regions / State"
"Method Dependency";"Method Dependency"
"Method will depend on ""Cost"", ""Weight"" and ""Quantity"". It\'s help for filtering for showing shipping method accordingly:<br /><strong>Cost:</strong> If purchased item\'s cost will be between the range of configured cost then shipping method will be view on checkout process.<br /><strong>Weight:</strong> If purchased item\'s weight will be between the range of configured weight then shipping method will be view on checkout process.<br /><strong>Quantity:</strong> If purchased item\'s quantity will be between the range of configured item\' quantity then shipping method will be view on checkout process.";"Method will depend on ""Cost"", ""Weight"" and ""Quantity"". It\'s help for filtering for showing shipping method accordingly:<br /><strong>Cost:</strong> If purchased item\'s cost will be between the range of configured cost then shipping method will be view on checkout process.<br /><strong>Weight:</strong> If purchased item\'s weight will be between the range of configured weight then shipping method will be view on checkout process.<br /><strong>Quantity:</strong> If purchased item\'s quantity will be between the range of configured item\' quantity then shipping method will be view on checkout process."
"It\'s global weight limit for apply this method means how much weight could be handled by this method, you may configured it. If you will not insert any end limit then it will be infinitely range.";"It\'s global weight limit for apply this method means how much weight could be handled by this method, you may configured it. If you will not insert any end limit then it will be infinitely range."
"Shipping Type";"Shipping Type"
"Fee Type";"Fee Type"
"Please enter a valid positive number.";"Please enter a valid positive number."
"Rate (%)";"Rate (%)"
"Activate this shipping method as default. (If you activate this shipping method as default, then this method will come selected in the Shipping Methods section during the checkout process.)";"Activate this shipping method as default. (If you activate this shipping method as default, then this method will come selected in the Shipping Methods section during the checkout process.)"
"Save Settings";"Save Settings"
"Weight Range for Handle this Method (In %s)";"Weight Range for Handle this Method (In %s)"
"Price (%s)";"Price (%s)"
"Who may see these products?";"Who may see these products?"
"Who may post comments on these products?";"Who may post comments on these products?"
"Publish Products";"Publish Products"
"Do you want to publish these imported products?";"Do you want to publish these imported products?"
"File Columns Separator";"File Columns Separator"
"Select a separator from below which you are using for the columns of the CSV file.";"Select a separator from below which you are using for the columns of the CSV file."
"Edit Shipping Method";"Edit Shipping Method"
"Edit shipping method, method will be show to buyer according to the saved values. Shipping mrthods will show to buyer accordingly.";"Edit shipping method, method will be show to buyer according to the saved values. Shipping mrthods will show to buyer accordingly."
"Region / State";"Region / State"
"Shipping Settings";"Shipping Settings"
"City";"City"
"Zip/Pin Code";"Zip/Pin Code"
"Address";"Address"
"See";"See"
"Metric";"Metric"
"All";"All"
"Gross Amount";"Gross Amount"
"Net Amount";"Net Amount"
"Total Transaction";"Total Transaction"
"Commission";"Commission"
"Tax";"Tax"
"Shipping Price";"Shipping Price"
"Duration";"Duration"
"This Week";"This Week"
"This Month";"This Month"
"This Year";"This Year"
"Time Summary";"Time Summary"
"Filter";"Filter"
"Add Location";"Add Location"
"Enable Tax For All Regions";"Enable Tax For All Regions"
"Yes";"Yes"
"No";"No"
"Price %s";"Price %s"
"Enable Tax Location";"Enable Tax Location"
"Create New Tax";"Create New Tax"
"Tax depends on";"Tax depends on"
"Enable this Tax";"Enable this Tax"
"Shipping Address";"Shipping Address"
"Billing Address";"Billing Address"
"Edit Tax Rate";"Edit Tax Rate"
"Fixed";"Fixed"
"Percent";"Percent"
"Edit Tax";"Edit Tax"
"Post Discussion Topic";"Post Discussion Topic"
"Post New Topic";"Post New Topic"
"Delete Topic";"Delete Topic"
"Are you sure you want to delete this topic?";"Are you sure you want to delete this topic?"
"Rename Topic";"Rename Topic"
"Video Description";"Video Description"
"Delete Video";"Delete Video"
"Add New Video";"Add New Video"
"Video Title";"Video Title"
"Tags (Keywords)";"Tags (Keywords)"
"Separate tags with commas.";"Separate tags with commas."
"Show this video in search results";"Show this video in search results"
"Everyone";"Everyone"
"All Registered Members";"All Registered Members"
"Friends and Networks";"Friends and Networks"
"Friends of Friends";"Friends of Friends"
"Friends Only";"Friends Only"
"Just Me";"Just Me"
"Privacy";"Privacy"
"Who may see this video?";"Who may see this video?"
"Comment Privacy";"Comment Privacy"
"Who may post comments on this video?";"Who may post comments on this video?"
"Video Source";"Video Source"
"YouTube";"YouTube"
"Vimeo";"Vimeo"
"My Computer";"My Computer"
"Video Link (URL)";"Video Link (URL)"
"Paste the web address of the video here.";"Paste the web address of the video here."
"Save Video";"Save Video"
"Non-user album owners not yet implemented";"Non-user album owners not yet implemented"
"Add To Wishlist";"Add To Wishlist"
"Please select the wishlists in which you want to add this Product.";"Please select the wishlists in which you want to add this Product."
"Wishlist Name";"Wishlist Name"
"View Privacy";"View Privacy"
"Who may see this wishlist?";"Who may see this wishlist?"
"Create New Wishlist";"Create New Wishlist"
"Wishlist Note";"Wishlist Note"
"Create";"Create"
"Edit Wishlist";"Edit Wishlist"
"Edit your wishlist over here and then click on Save Changes"" to save it.""";"Edit your wishlist over here and then click on Save Changes"" to save it."""
"Wishlists";"Wishlists"
"My Wishlists";"My Wishlists"
"My Friends Wishlists";"My Friends Wishlists"
"Wishlists I Liked";"Wishlists I Liked"
"Wishlists Followed by me";"Wishlists Followed by me"
"Member’s Name / Email";"Member’s Name / Email"
"Maximum Products";"Maximum Products"
"Most Liked";"Most Liked"
"Most Followed";"Most Followed"
"Search:";"Search:"
"Browse By:";"Browse By:"
"Most Rated (Overall)";"Most Rated (Overall)"
"Most Rated (Editor)";"Most Rated (Editor)"
"Most Rated (Users)";"Most Rated (Users)"
"Most Reviewed";"Most Reviewed"
"Recently Added";"Recently Added"
"Most Commented";"Most Commented"
"Tell a Friend";"Tell a Friend"
"Please fill the form below and then click on 'Tell a Friend' button to let your friends know about this Wishlist.";"Please fill the form below and then click on 'Tell a Friend' button to let your friends know about this Wishlist."
"Send a copy to my email address.";"Send a copy to my email address."
"First Name";"First Name"
"Last Name";"Last Name"
"Phone Number";"Phone Number"
"Select Country";"Select Country"
"Locality";"Locality"
"Same Shipping Address";"Same Shipping Address"
"Add Shipment";"Add Shipment"
"Service";"Service"
"Enter name of the services provider, which services you are using for shipment.";"Enter name of the services provider, which services you are using for shipment."
"Enter title of the services provider.";"Enter title of the services provider."
"Tracking Number";"Tracking Number"
"Enter the tracking number, so that buyer can track their order using entered tracking number.";"Enter the tracking number, so that buyer can track their order using entered tracking number."
"Note";"Note"
"Enter the note for the buyer for the respective shipment or shipping service provider.";"Enter the note for the buyer for the respective shipment or shipping service provider."
"Active";"Active"
"Completed";"Completed"
"Canceled";"Canceled"
"Edit Profile Picture";"Edit Profile Picture"
"Current Photo";"Current Photo"
"Choose New Photo";"Choose New Photo"
"Or";"Or"
"Remove Photo";"Remove Photo"
"Contact Details";"Contact Details"
"Contact information will be displayed on your product profile.";"Contact information will be displayed on your product profile."
"Save Details";"Save Details"
"Admin has not choose any option to show contact detail.";"Admin has not choose any option to show contact detail."
"Note: your product will be expired in %2$s %3$s after an approval or it may be changed by admin.";"Note: your product will be expired in %2$s %3$s after an approval or it may be changed by admin."
"2. Post New Product";"2. Post New Product"
"Compose your new product below, then click 'Create' button to publish the product.";"Compose your new product below, then click 'Create' button to publish the product."
"Product Type";"Product Type"
"Product Title";"Product Title"
"Product SKU";"Product SKU"
"Weight Type";"Weight Type"
"Real Time";"Real Time"
"Product Weight (In %s)";"Product Weight (In %s)"
"Enter the weight of this product.";"Enter the weight of this product."
"Brand";"Brand"
"Short Description";"Short Description"
"Overview";"Overview"
"Main Photo";"Main Photo"
"Upload the photo. The recommended dimension for the photo of product is: 400 x 500 pixels.";"Upload the photo. The recommended dimension for the photo of product is: 400 x 500 pixels."
"Product Name";"Product Name"
"It\'s autosuggest textbox, please insert the products name of this store for make group of theme. You will allowed to configured ""Simple Product"" only.";"It\'s autosuggest textbox, please insert the products name of this Showroom for make group of theme. You will allowed to configured ""Simple Product"" only."
"Enter the price of the product.";"Enter the price of the product."
"View Rate and Location";"View Rate and Location"
"Taxes";"Taxes"
"Apply the available tax on this product, tax will calculate according to the buyer location, you may view the available location of each tax after click on 'View Rate and Location'.";"Apply the available tax on this product, tax will calculate according to the buyer location, you may view the available location of each tax after click on 'View Rate and Location'."
"Discount";"Discount"
"Do you want to allow discount on this product?";"Do you want to allow discount on this product?"
