"Store Profile Popular Reviews";"Showroom Profile Popular Reviews"
"Displays list of Store's popular reviews. Setting for this widget is available in widget settings tab of Store - Reviews admin.";"Displays list of Showroom's popular reviews. Setting for this widget is available in widget settings tab of Showroom - Reviews admin."
"Most Popular Reviews";"Most Popular Reviews"
"Displays list of Store's most commented reviews. Setting for this widget is available in widget settings tab of Store - Reviews admin.";"Displays list of Showroom's most commented reviews. Setting for this widget is available in widget settings tab of Showroom - Reviews admin."
"Most Commented Reviews";"Most Commented Reviews"
"Store Profile Most Liked Reviews";"Showroom Profile Most Liked Reviews"
"Displays list of Store's most liked reviews. Setting for this widget is available in widget settings tab of Store - Reviews admin.";"Displays list of Showroom's most liked reviews. Setting for this widget is available in widget settings tab of Showroom - Reviews admin."
"Most Liked Reviews";"Most Liked Reviews"
"Store Profile Reviews";"Showroom Profile Reviews"
"This widget forms the Reviews tab on the Store Profile and displays the reviews of the Store. It should be placed in the Tabbed Blocks area of the Store Profile.";"This widget forms the Reviews tab on the Showroom Profile and displays the reviews of the Showroom. It should be placed in the Tabbed Blocks area of the Showroom Profile."
"Store Profile Review Rating";"Showroom Profile Review Rating"
"Displays a Store's review ratings on it's profile.";"Displays a Showroom's review ratings on it's profile."
"Rating";"Rating"
"Top Rated Stores";"Top Rated Showrooms"
"Displays the top rated Stores of the site.";"Displays the top rated Showrooms of the site."
"Most Recent Reviews";"Most Recent Reviews"
"Displays the most recent reviews of the site.";"Displays the most recent reviews of the site."
"Recent Reviews";"Recent Reviews"
"Reviews";"Reviews"
"Count";"Count"
"(number of reviews to show)";"(number of reviews to show)"
"Top Reviewers";"Top Reviewers"
"This widget shows the top reviewers for the Stores on your site based on the number of reviews posted by them.";"This widget shows the top reviewers for the Showrooms on your site based on the number of reviews posted by them."
"Featured Reviews";"Featured Reviews"
"Displays Featured Reviews as chosen by you from the Manage Ratings & Reviews section in the admin panel of this extension.";"Displays Featured Reviews as chosen by you from the Manage Ratings & Reviews section in the admin panel of this extension."
"Review of the Day";"Review of the Day"
