"Filled value can not be zero !";"Filled value can not be zero !"
"Video doesn't exists or not authorized to delete";"Video doesn't exists or not authorized to delete"
"Video posted successfully";"Video posted successfully"
"We could not find a video there - please check the URL and try again.";"We could not find a video there - please check the URL and try again."
"Delete Video";"Delete Video"
"Are you sure you want to delete this video?";"Are you sure you want to delete this video?"
"Edit Video";"Edit Video"
"Video Title";"Video Title"
"Please specify an video title";"Please specify an video title"
"Tags (Keywords)";"Tags (Keywords)"
"Show this video in search results.";"Show this video in search results."
"Save Video";"Save Video"
"Highest Rated";"Highest Rated"
"Add New Video";"Add New Video"
"Add a new video in this Store using the form below.";"Add a new video in this Showroom using the form below."
"Video Source";"Video Source"
"Video Link (URL)";"Video Link (URL)"
"Paste the web address of the video here.";"Paste the web address of the video here."
"YouTube";"YouTube"
"Vimeo";"Vimeo"
"Uploaded";"Uploaded"
"My Computer";"My Computer"
"Ffmpeg not configured";"Ffmpeg not configured"
"Ffmpeg found, but is not executable";"Ffmpeg found, but is not executable"
"Unable to execute shell commands using shell_exec(); the function is disabled.";"Unable to execute shell commands using shell_exec(); the function is disabled."
"Video temporary directory did not exist and could not be created.";"Video temporary directory did not exist and could not be created."
"Video temporary directory is not writable.";"Video temporary directory is not writable."
"Argument was not a valid video";"Argument was not a valid video"
"Video storage file was missing";"Video storage file was missing"
"Could not pull to temporary file";"Could not pull to temporary file"
"failed";"failed"
"No video identity provided.";"No video identity provided."
"Video is missing.";"Video is missing."
"Video has already been encoded, or has already failed encoding.";"Video has already been encoded, or has already failed encoding."
"Exception:";"Exception:"
"Video conversion failed. Video format is not supported by FFMPEG. Please try %1$sagain%2$s.";"Video conversion failed. Video format is not supported by FFMPEG. Please try %1$sagain%2$s."
"Video conversion failed. Audio files are not supported. Please try %1$sagain%2$s.";"Video conversion failed. Audio files are not supported. Please try %1$sagain%2$s."
"Video conversion failed. You may be over the site upload limit.  Try %1$suploading%2$s a smaller file, or delete some files to free up space.";"Video conversion failed. You may be over the site upload limit.  Try %1$suploading%2$s a smaller file, or delete some files to free up space."
"Video format is not supported by FFMPEG.";"Video format is not supported by FFMPEG."
"Audio-only files are not supported.";"Audio-only files are not supported."
"Unknown encoding error.";"Unknown encoding error."
"Unknown";"Unknown"
"queued";"queued"
"ready";"ready"
"processing";"processing"
"Store Profile Videos";"Showroom Profile Videos"
"This widget forms the Videos tab on the Store Profile and displays the videos of the Store. It should be placed in the Tabbed Blocks area of the Store Profile.";"This widget forms the Videos tab on the Showroom Profile and displays the videos of the Showroom. It should be placed in the Tabbed Blocks area of the Showroom Profile."
"Store Profile Most Commented Videos";"Showroom Profile Most Commented Videos"
"Displays list of a Store\'s most commented videos. This widget should be placed on the Store Profile.";"Displays list of a Showroom\'s most commented videos. This widget should be placed on the Showroom Profile."
"Most Commented Videos";"Most Commented Videos"
"Store Profile Most Recent Videos";"Showroom Profile Most Recent Videos"
"Displays list of a Store\'s most recent videos. This widget should be placed on the Store Profile.";"Displays list of a Showroom\'s most recent videos. This widget should be placed on the Showroom Profile."
"Most Recent Videos";"Most Recent Videos"
"Store Profile Top Rated Videos";"Showroom Profile Top Rated Videos"
"Displays list of a Store\'s top rated videos. This widget should be placed on the Store Profile.";"Displays list of a Showroom\'s top rated videos. This widget should be placed on the Showroom Profile."
"Top Rated Videos";"Top Rated Videos"
"Store Profile Most Liked Videos";"Showroom Profile Most Liked Videos"
"Displays list of a Store\'s most liked videos. This widget should be placed on the Store Profile.";"Displays list of a Showroom\'s most liked videos. This widget should be placed on the Showroom Profile."
"Most Liked Videos";"Most Liked Videos"
"Store Profile Featured Videos";"Showroom Profile Featured Videos"
