"TIMELINE_VIEWS_SCRIPTS_FANCYUPLOAD_DESCRIPTION";"Problem with flash is detected."
"TIMELINE_VIEWS_SCRIPTS_FANCYUPLOAD_TYPES";"You can upload next image files:"
"_ACTIVITY_ACTIONTYPE_TIMELINE_COVER_UPDATE";"Upload Timeline Cover"
"Timeline";"Timeline"
"The action you are looking for does not exist.";"The action you are looking for does not exist."
"Loading...";"Loading..."
"Unlike";"Unlike"
"Like";"Like"
"Comment";"Comment"
"Delete";"Delete"
"Share";"Share"
"%s likes this.";"%s likes this.";"%s like this."
"%s person likes this";"%s person likes this";"%s person like this"
"View all %s comment";"View all %s comment";"View all %s comments"
"delete";"delete"
"like";"like"
"unlike";"unlike"
"To enable the embedded uploader, unblock it in your browser and refresh (see Adblock).";"To enable the embedded uploader, unblock it in your browser and refresh (see Adblock)."
"To enable the embedded uploader, enable the blocked Flash movie (see Flashblock).";"To enable the embedded uploader, enable the blocked Flash movie (see Flashblock)."
"A required file was not found, please be patient and we'll fix this.";"A required file was not found, please be patient and we'll fix this."
"To enable the embedded uploader, install the latest Adobe Flash plugin.";"To enable the embedded uploader, install the latest Adobe Flash plugin."
"You can upload %s files.";"You can upload %s files."
"Upload Media";"Upload Media"
"Please choose an image that's at least %1\$s*%2\$s (width*height) pixels. Your image dimension is %3\$s*%4\$s (width*height).";"Please choose an image that's at least %1\$s*%2\$s (width*height) pixels. Your image dimension is %3\$s*%4\$s (width*height)."
"Please report this to your site administrator with Error Code %s";"Please report this to your site administrator with Error Code %s"
"Image minimal width: %dpx, minimal height: %dpx.";"Image minimal width: %dpx, minimal height: %dpx."
"Your cover deleted.";"Your cover deleted."
"or";"or"
"cancel";"cancel"
"Change Cover";"Change Cover"
"Delete Cover";"Delete Cover"
"Take a WebCam Photo";"Take a WebCam Photo"
"Select Avatar";"Select Avatar"
"Edit Photo";"Edit Photo"
"Edit My Profile";"Edit My Profile"
"clear";"clear"
"More +";"More +"
"%d new update is available - click this to show it.";"%d new update is available - click this to show it.";"%d new updates are available - click this to show them."
"Post Something...";"Post Something..."
"The post was not added to the feed. Please check your %1$sprivacy settings%2$s.";"The post was not added to the feed. Please check your %1$sprivacy settings%2$s."
"Activity Item Not Found";"Activity Item Not Found"
"The page you have attempted to access could not be found.";"The page you have attempted to access could not be found."
"Nothing has been posted here yet - be the first!";"Nothing has been posted here yet - be the first!"
"View More";"View More"
"Timeline Plugin";"Timeline Plugin"
"Cover";"Cover"
"Reset Cover";"Reset Cover"
"Widget Title";"Widget Title"
"Current Icon";"Current Icon"
"Option";"Option"
"More";"More"
"Crop image";"Crop image"
"Select the area on your image to create profile cover";"Select the area on your image to create profile cover."
"Hold SHIFT to select a square area";"Hold SHIFT to select a square area."
"Click to crop";"Click to crop"
"Cover changed.";"Cover changed."
"Upload a cover for timeline";"Upload a cover for timeline"
"Upload Default Cover";"Upload Default Cover"
"You can change default profile cover.";"You can change default profile cover."
"Global Settings";"Global Settings"
"These settings affect all members in your community.";"These settings affect all members in your community."
"Width";"Width"
"Height";"Height"
"Cover size for timeline";"Cover size for timeline"
"Enter size of cover for timeline.";"Enter size of cover for timeline."
"Save Changes";"Save Changes"
"Upload";"Upload"
"submit";"submit"
"Member Level Settings";"Member Level Settings"
"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below.";"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below."
"Member Level";"Member Level"
"Enable timeline profile";"Enable timeline profile"
"Do you want to enable timeline profile for this user level?";"Do you want to enable timeline profile for this user level?"
"Yes, enable.";"Yes, enable."
"No";"No"
"*.jpg; *.jpeg; *.gif; *.png";"*.jpg; *.jpeg; *.gif; *.png"
"Timeline Activity feed";"Timeline Activity feed"
"Displays the activity feed.";"Displays the activity feed."
"Timeline Cover";"Timeline Cover"
"Upload Cover";"Upload Cover"
"User Sign up Date:";"User Sign up Date:"
"Delete Cover?";"Delete Cover?"
"Are you sure that you want to delete your cover?";"Are you sure that you want to delete your cover?"
"Width";"Width"
"Height";"Height"
"Choose profile layout";"Choose profile layout"
"Do you want to allow users to choose profile layout (classic or timeline)?";"Do you want to allow users to choose profile layout (classic or timeline)?"
"Yes, enable.";"Yes, enable."
"No";"No"
"Image maximal size 65*65px (width * height). Image extension must be png.";"Image maximal size 65*65px (width * height). Image extension must be png."
"Member Timeline Profile";"Member Timeline Profile"
"Display cover image for timeline.";"Display cover image for timeline."
"Do you want to reset the icon?";"Do you want to reset the icon?"
"Default icon was set.";"Default icon was set."
"Are you sure that you want to set default image for this tab?";"Are you sure that you want to set default image for this tab?"
"Timeline Tabs Container";"Timeline Tabs Container"
"{item:$subject} has changed a profile cover.";"{item:$subject} has changed a profile cover."
"Covers with smaller width";"Covers with smaller width"
"Do you want to allow members upload covers with smaller width? Note, smaller images will be scaled with css to cover dimentions. Images may be stretched. We advice to keep this option off.";"Do you want to allow members upload covers with smaller width? Note, smaller images will be scaled with css to cover dimentions. Images may be stretched. We advice to keep this option off."
"Yes, do that.";"Yes, do that."
"No, thanks.";"No, thanks."
